ID_N,UBIGEO,CCDI,NOMBREDI,INF109,INF109A,INF109A_O,INF109B1,INF109C1_D1,INF109C1_D2,INF109C1_D3,INF109C1_D4,INF109C1_D5,INF109B2,INF109C2_D1,INF109C2_P1,INF109C2_D2,INF109C2_P2,INF109C2_D3,INF109C2_P3,INF109C2_D4,INF109C2_P4,INF109C2_D5,INF109C2_P5,INF109C2_D6,INF109C2_P6,INF109C2_D7,INF109C2_P7,INF109C2_D8,INF109C2_P8,INF109C2_D9,INF109C2_P9,INF109C2_D10,INF109C2_P10,INF109B3,INF109C3_D1,INF109C3_P1,INF109C3_DI1,INF109C3_DI1_FT,INF109C3_DI1_FP,INF109C3_D2,INF109C3_P2,INF109C3_DI2,INF109C3_DI2_FT,INF109C3_DI2_FP,INF109C3_D3,INF109C3_P3,INF109C3_DI3,INF109C3_DI3_FT,INF109C3_DI3_FP,INF109C3_D4,INF109C3_P4,INF109C3_DI4,INF109C3_DI4_FT,INF109C3_DI4_FP,INF109C3_D5,INF109C3_P5,INF109C3_DI5,INF109C3_DI5_FT,INF109C3_DI5_FP,INF109C3_D6,INF109C3_P6,INF109C3_DI6,INF109C3_DI6_FT,INF109C3_DI6_FP,INF109C3_D7,INF109C3_P7,INF109C3_DI7,INF109C3_DI7_FT,INF109C3_DI7_FP,INF109C3_D8,INF109C3_P8,INF109C3_DI8,INF109C3_DI8_FT,INF109C3_DI8_FP,INF109C3_D9,INF109C3_P9,INF109C3_DI9,INF109C3_DI9_FT,INF109C3_DI9_FP,INF109C3_D10,INF109C3_P10,INF109C3_DI10,INF109C3_DI10_FT,INF109C3_DI10_FP,INF110_TOT,INF110_TOT_OFI_H,INF110_TOT_OFI_M,INF110_TOT_OFISV_H,INF110_TOT_OFISV_M,INF110_TOT_SOF_H,INF110_TOT_SOF_M,INF110_TOT_SOFSV_H,INF110_TOT_SOFSV_M,INF111_ADM,INF111_ADM_OFI_H,INF111_ADM_OFI_M,INF111_ADM_OFISV_H,INF111_ADM_OFISV_M,INF111_ADM_SOF_H,INF111_ADM_SOF_M,INF111_ADM_SOFSV_H,INF111_ADM_SOFSV_M,INF112_MOT,INF112_MOT_OFI_H,INF112_MOT_OFI_M,INF112_MOT_OFISV_H,INF112_MOT_OFISV_M,INF112_MOT_SOF_H,INF112_MOT_SOF_M,INF112_MOT_SOFSV_H,INF112_MOT_SOFSV_M,INF113_PIE,INF113_PIE_OFI_H,INF113_PIE_OFI_M,INF113_PIE_OFISV_H,INF113_PIE_OFISV_M,INF113_PIE_SOF_H,INF113_PIE_SOF_M,INF113_PIE_SOFSV_H,INF113_PIE_SOFSV_M,INF114_INV_DF,INF114_INV_DF_OFI_H,INF114_INV_DF_OFI_M,INF114_INV_DF_OFISV_H,INF114_INV_DF_OFISV_M,INF114_INV_DF_SOF_H,INF114_INV_DF_SOF_M,INF114_INV_DF_SOFSV_H,INF114_INV_DF_SOFSV_M,INF115_INV_AT,INF115_INV_AT_OFI_H,INF115_INV_AT_OFI_M,INF115_INV_AT_OFISV_H,INF115_INV_AT_OFISV_M,INF115_INV_AT_SOF_H,INF115_INV_AT_SOF_M,INF115_INV_AT_SOFSV_H,INF115_INV_AT_SOFSV_M,INF116_INV_VF,INF116_INV_VF_OFI_H,INF116_INV_VF_OFI_M,INF116_INV_VF_OFISV_H,INF116_INV_VF_OFISV_M,INF116_INV_VF_SOF_H,INF116_INV_VF_SOF_M,INF116_INV_VF_SOFSV_H,INF116_INV_VF_SOFSV_M,INF117_OPC,INF117_OPC_OFI_H,INF117_OPC_OFI_M,INF117_OPC_OFISV_H,INF117_OPC_OFISV_M,INF117_OPC_SOF_H,INF117_OPC_SOF_M,INF117_OPC_SOFSV_H,INF117_OPC_SOFSV_M,INF118_PG,INF118_PG_OFI_H,INF118_PG_OFI_M,INF118_PG_OFISV_H,INF118_PG_OFISV_M,INF118_PG_SOF_H,INF118_PG_SOF_M,INF118_PG_SOFSV_H,INF118_PG_SOFSV_M,INF119_SC,INF119_SC_OFI_H,INF119_SC_OFI_M,INF119_SC_OFISV_H,INF119_SC_OFISV_M,INF119_SC_SOF_H,INF119_SC_SOF_M,INF119_SC_SOFSV_H,INF119_SC_SOFSV_M,INF120_O,INF120_O_O,INF120_O_OFI_H,INF120_O_OFI_M,INF120_O_OFISV_H,INF120_O_OFISV_M,INF120_O_SOF_H,INF120_O_SOF_M,INF120_O_SOFSV_H,INF120_O_SOFSV_M,INF121_1,INF121_1_CANT,INF121_2,INF121_2_CANT,INF121_3,INF121_3_CANT,INF121_4,INF121_4_CANT,INF121_5,INF121_5_CANT,INF121_6,INF121_6_CANT,INF121_7,INF121_7_CANT,INF121_8,INF121_8_CANT,INF121_9,INF121_9_CANT,INF121_10,INF121_10_CANT,INF121_11,INF121_11_CANT,INF121_12,INF121_12_CANT,INF121_13,INF121_13_CANT,INF121_14,INF121_14_CANT,INF121_TOT,INF122,INF123,INF123_A,INF124,INF124_A,INF124_B1,INF124_B2,INF124_B3,INF124_B4,INF124_B5,INF124_B6,INF124_B7,INF124_B8,INF124_B9,INF124_B10,INF124_B11,INF124_B12,INF124_B13,INF124_B14,INF124_B15,INF124_B16,INF124_B17,INF124_B18,INF124_B19,INF124_B20,INF124_B21,INF124_B22,INF124_B23,INF124_B24,INF124_B25,INF124_B26,INF124_B27,INF124_B28,INF124_B29,INF124_B30,INF124_B31,INF124_B32,INF124_B33,INF124_B34,INF124_B35,INF124_B36,INF124_B37,INF124_B38,INF124_B39,INF124_B40,INF125,INF125_A,INF126_1,INF126_2,INF126_3,INF126_4,INF126_5,INF126_6,INF126_7,INF126_8,INF126_9,INF126_10,INF126_11,INF126_12,INF126_13,INF126_14,INF126_15,INF126_16,INF126_O,GPSLATITUD_INF,GPSLONGITUD_INF
0001,100601,01,RUPA-RUPA,De 40001 - 80000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,10,6,1,Si,No,10,6,8,Si,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,58,1,0,0,0,53,4,0,0,6,0,0,0,0,4,2,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,9,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,12,PUESTO DE AUXILIO RAPIDO,0,0,0,0,12,0,0,0,No, ,Si,1,No, ,No, ,No, ,No, ,Si,3,Si,8,Si,2,Si,1,Si,1,Si,9,Si,16,Si,17,58,0,Sí,1,Sí,6,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ninguna, , , , , , , , , , , , , , , , , , ,-9.29806953,-76.00260836
0002,100606,06,MARIANO DAMASO BERAUN,De 5000 - 10000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,6,6,Si,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,1,0,0,0,17,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,No, ,No, ,Si,1,No, ,No, ,No, ,Si,1,Si,3,Si,1,Si,1,Si,1,Si,5,Si,5,18,0,Sí,7,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-9.49461342,-75.95306846
0003,100604,04,JOSE CRESPO Y CASTILLO,De 20001 - 40000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,10,6,4,No,Si,10,6,7,No,Si, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27,1,0,0,0,24,2,0,0,2,0,0,0,0,1,1,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,6,0,0,0,2,1,0,0,0,1,0,0,0,2,APOYO A LA JUSTICIA,0,0,0,0,2,0,0,0,No, ,No, ,Si,1,No, ,No, ,No, ,Si,1,No, ,Si,4,Si,1,Si,4,Si,2,Si,4,Si,10,27,0,Sí,3,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.93140901,-76.11188986
0004,221001,01,TOCACHE,De 5000 - 10000 Hab,Provincial, , , , , , , ,1,22,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55,2,0,0,0,38,15,0,0,6,0,0,0,0,3,3,0,0,20,0,0,0,0,20,0,0,0,7,0,0,0,0,2,5,0,0,2,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,11,0,0,0,0,10,1,0,0,2,2,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,No, ,Si,1,Si,1,No, ,No, ,No, ,Si,1,Si,5,Si,2,Si,3,No, ,Si,5,Si,37,55,0,No, ,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.1884396,-76.51227108
0005,221002,02,NUEVO PROGRESO,De 5000 - 10000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,22,10,2,Si,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,0,1,0,0,24,3,0,0,1,0,0,0,0,0,1,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,No, ,No, ,No, ,Si,1,No, ,No, ,Si,1,No, ,Si,1,Si,1,Si,3,Si,3,Si,18,28,0,No, ,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.45341229,-76.3241724
0006,221005,05,UCHIZA,Menos de 5000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,22,10,5,No,Si, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1,0,0,0,29,5,0,0,2,0,0,0,0,1,1,0,0,10,0,0,0,0,10,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,10,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,No, ,No, ,Si,1,No, ,No, ,No, ,No, ,Si,2,Si,2,Si,2,Si,6,Si,3,Si,19,35,0,No, ,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.45046975,-76.46217742
0007,250301,01,PADRE ABAD,De 20001 - 40000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,25,3,1,No,Si, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,1,0,0,0,27,1,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,Si,1,No, ,No, ,No, ,No, ,Si,2,No, ,Si,2,Si,1,Si,1,Si,3,Si,5,Si,14,29,0,Sí,2,Sí,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ninguna, , , , , , , , , , , , , , , , , , ,-9.03794253,-75.50689252
0008,250305,05,ALEXANDER VON HUMBOLDT,De 10001 - 20000 Hab,Provincial, , , , , , , ,1,25,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,1,0,0,0,20,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,No, ,Si,1,No, ,No, ,No, ,Si,1,No, ,Si,2,Si,4,Si,1,No, ,Si,5,Si,8,22,0,No, ,Sí,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Almenos una,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,BOTIQUIN DE PRIMEROS AUXILIOS,-8.82538,-75.051607
0009,250302,02,IRAZOLA,De 10001 - 20000 Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,25,3,2,Si,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21,1,0,0,0,19,1,0,0,2,0,0,0,0,1,1,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,No, ,No, ,No, ,No, ,Si,1,No, ,Si,1,Si,2,Si,1,Si,2,No, ,Si,8,Si,6,21,0,No, ,No, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-8.82951452,-75.21614922
0010,200101,01,PIURA,De 80001 a más Hab,Distrital, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,20,1,1,No,Si, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,162,3,0,0,0,118,28,12,1,14,0,0,0,0,9,4,1,0,47,0,0,0,0,41,0,6,0,71,0,0,0,0,55,13,2,1,6,0,0,0,0,3,2,1,0,4,0,0,0,0,3,1,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,1,4,0,0,10,0,0,0,0,6,2,2,0,3,3,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,No, ,Si,1,Si,1,No, ,No, ,Si,1,Si,13,Si,10,Si,9,Si,2,Si,1,Si,2,Si,6,Si,116,162,1,No, ,Sí,2,12,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ninguna, , , , , , , , , , , , , , , , , , ,-5.19025882,-80.63408522
